collar_id,hole_id,easting,northing,elevation,total_depth,dip,year_drilled,azimuth,contractor,geologist,block_no,dh_version,remarks,created_at,updated_at
1,BC01C,740809.36,2181845.151,537.606,125.0,,2016.0,,,AUN,31J,0.0,,2025-10-31 15:06:16.006046,2025-10-31 15:06:16.006051
2,BC04C,740876.015,2181979.346,534.136,38.0,,2016.0,,,STB,31I,0.0,แก้แล้ว,2025-10-31 15:06:16.007827,2025-10-31 15:06:16.007829
3,BC05C,740879.631,2181924.277,530.534,58.35,,2016.0,,,STB,31I,0.0,ล็อกผีดกับตวย่างตีดไปกับF1,2025-10-31 15:06:16.009588,2025-10-31 15:06:16.009589
4,BC06C,740965.068,2181917.514,527.106,65.0,,2016.0,,,VVI,32I,0.0,LICL,2025-10-31 15:06:16.011161,2025-10-31 15:06:16.011162
5,BC16C,741783.297,2181441.996,522.575,41.0,,2016.0,,,BPL,40N,0.0,,2025-10-31 15:06:16.012713,2025-10-31 15:06:16.012715
6,BC17C,741726.485,2181711.29,521.425,63.0,,2016.0,,,STB,40K,0.0,แก้แล้ว,2025-10-31 15:06:16.014320,2025-10-31 15:06:16.014321
7,BC23C,740948.872,2181892.836,525.122,74.9,,2016.0,,,CSC,32J,0.0,,2025-10-31 15:06:16.015875,2025-10-31 15:06:16.015876
8,BC29C,741718.059,2181772.312,500.161,36.0,,2016.0,,,STB,40K,0.0,Edit by SWJ_30Oct2019,2025-10-31 15:06:16.017383,2025-10-31 15:06:16.017384
9,BC31C,741487.709,2181780.33,516.337,76.3,,2016.0,,,AXT,37K,0.0,,2025-10-31 15:06:16.018886,2025-10-31 15:06:16.018887
10,BC32C,741412.991,2181658.411,530.632,107.25,,2016.0,,,BPL,37L,0.0,,2025-10-31 15:06:16.020413,2025-10-31 15:06:16.020414
11,HPC3C,740074.946,2181623.371,581.715,297.0,,2014.0,,,CTK,BND23KL-24KL,0.0,ยืยยันเป็น CBCL เก็บรวบ,2025-10-31 15:06:16.021926,2025-10-31 15:06:16.021927
12,HPC5C,740163.003,2181455.323,576.073,329.0,,2014.0,,,VVI,24N,0.0,Edit by CYV_18Nov19,2025-10-31 15:06:16.023459,2025-10-31 15:06:16.023460
13,HPC6C,739929.514,2181668.349,584.829,218.0,,2014.0,,,AUT,BND21KL-22KL,0.0,repeat seam,2025-10-31 15:06:16.025062,2025-10-31 15:06:16.025064
14,HPC8C,739842.643,2181626.153,594.968,239.0,,2014.0,,,AXT,BND21KL-22KL,0.0,repeat seam,2025-10-31 15:06:16.026581,2025-10-31 15:06:16.026582
15,HPC10C,739972.012,2181579.476,578.413,236.8,,2017.0,,,CSC,BND21MN-22MN,0.0,,2025-10-31 15:06:16.028109,2025-10-31 15:06:16.028109
16,HPC18C,740334.153,2181086.5810000002,556.01,293.0,,2016.0,,,WRJ,26R,0.0,Woody coal,2025-10-31 15:06:16.029676,2025-10-31 15:06:16.029677
17,HPC27C,740244.617,2181041.876,556.344,298.3,,2016.0,,,WRJ,25R,0.0,CORE LOSS Adjust rk code to CL from Geophysic,2025-10-31 15:06:16.031193,2025-10-31 15:06:16.031193
18,HPC43C,739872.402,2181542.069,590.346,304.0,,2017.0,,,AXT,BND21MN-22MN,0.0,,2025-10-31 15:06:16.032758,2025-10-31 15:06:16.032759
19,HS380C,740855.462,2182048.442,581.743,208.5,,2008.0,,,-,31H,0.0,,2025-10-31 15:06:16.034279,2025-10-31 15:06:16.034280
20,HS424C,740261.097,2181444.748,590.17,252.0,,2008.0,,,-,25N,0.0,,2025-10-31 15:06:16.035796,2025-10-31 15:06:16.035797
21,HS425C,740387.85,2181181.59,580.26,317.0,,,,,,26Q,0.0,,2025-10-31 15:06:16.037306,2025-10-31 15:06:16.037307
22,HS426C,740528.7,2180919.22,566.01,227.0,,,,,,28S,0.0,,2025-10-31 15:06:16.038796,2025-10-31 15:06:16.038797
23,HS427C,740675.527,2180630.648,555.668,268.0,,2008.0,,,-,29V,0.0,,2025-10-31 15:06:16.040335,2025-10-31 15:06:16.040336
24,HS429C,740732.456,2180472.519,556.186,290.0,,2008.0,,,-,BND27VWX-28VWX-29VWX-30VWX,0.0,,2025-10-31 15:06:16.041856,2025-10-31 15:06:16.041857
25,HS433C,740664.082,2181500.011,593.0495,297.5,,2007.0,,,-,29M,0.0,,2025-10-31 15:06:16.043381,2025-10-31 15:06:16.043382
26,HS435C,740446.829,2180638.666,565.899,297.0,,2008.0,,,-,BND27VWX-28VWX-29VWX-30VWX,0.0,,2025-10-31 15:06:16.044939,2025-10-31 15:06:16.044940
27,HS440C,739808.963,2181447.293,573.322,305.0,,2008.0,,,-,BND21MN-22MN,0.0,,2025-10-31 15:06:16.046467,2025-10-31 15:06:16.046468
28,HS515C,740145.785,2181684.449,604.725,366.0,,2012.0,,,PYT,BND23KL-24KL,0.0,,2025-10-31 15:06:16.048012,2025-10-31 15:06:16.048013
29,HS516C,740248.905,2181486.593,581.941,340.0,,2012.0,,,ATS,25N,0.0,,2025-10-31 15:06:16.049548,2025-10-31 15:06:16.049549
30,HS517C,740569.48,2180862.12,554.974,270.0,,2012.0,,,PYT,28T,0.0,edit IMAD&RDIS(Feb2016),2025-10-31 15:06:16.051040,2025-10-31 15:06:16.051040
31,HS523C,740362.283,2181472.503,571.21,311.0,,2012.0,,,ATS,26N,0.0,,2025-10-31 15:06:16.052560,2025-10-31 15:06:16.052561
32,HS524C,740438.285,2181331.147,565.706,299.0,,2012.0,,,ATS,27O,0.0,,2025-10-31 15:06:16.054080,2025-10-31 15:06:16.054080
33,HS525C,740513.37,2181177.266,569.416,300.0,,2012.0,,,ATS,28Q,0.0,,2025-10-31 15:06:16.055598,2025-10-31 15:06:16.055598
34,HS526C,740588.128,2181045.616,561.802,300.0,,2012.0,,,DNK,28R,0.0,,2025-10-31 15:06:16.057895,2025-10-31 15:06:16.057900
35,HS527C,740651.139,2180899.89,559.067,250.0,,2012.0,,,ATS,29T,0.0,,2025-10-31 15:06:16.059589,2025-10-31 15:06:16.059590
36,HS537C,740892.159,2180652.981,565.637,400.0,,2012.0,,,PRK,31V,0.0,,2025-10-31 15:06:16.061127,2025-10-31 15:06:16.061128
37,HS541C,740466.035,2181697.718,587.766,329.0,,2012.0,,,SSR,27L,0.0,Edit by CYV_6DEC19,2025-10-31 15:06:16.062689,2025-10-31 15:06:16.062690
38,HS542C,740526.031,2181569.39,570.507,320.0,,2013.0,,,PYT,28M,0.0,,2025-10-31 15:06:16.064246,2025-10-31 15:06:16.064247
39,HS544C,740716.396,2181212.85,558.984,278.0,,2013.0,,,DNK,30P,0.0,,2025-10-31 15:06:16.065788,2025-10-31 15:06:16.065789
40,HS552C,740742.775,2181404.485,580.665,308.0,,2013.0,,,PYT,30N,0.0,,2025-10-31 15:06:16.067323,2025-10-31 15:06:16.067324
41,HS553C,740795.756,2181283.625,569.993,272.0,,2013.0,,,CTK,30P,0.0,fault zone,2025-10-31 15:06:16.068836,2025-10-31 15:06:16.068837
42,HS559C,740775.586,2181551.826,577.359,290.0,,2012.0,,,PLK,30M,0.0,,2025-10-31 15:06:16.070690,2025-10-31 15:06:16.070693
43,HS573C,742287.692,2181636.116,549.637,168.5,,2011.0,,,-,45L,0.0,,2025-10-31 15:06:16.072452,2025-10-31 15:06:16.072454
44,HS590C,740967.068,2182058.216,591.414,140.0,,2012.0,,,PRK,32H,0.0,,2025-10-31 15:06:16.073999,2025-10-31 15:06:16.074000
45,HS591C,740989.385,2182020.163,589.588,180.0,,2012.0,,,DNK,32H,0.0,,2025-10-31 15:06:16.075652,2025-10-31 15:06:16.075653
46,HS740C,740570.504,2181267.438,564.615,290.0,,2013.0,,,CTK,28P,0.0,,2025-10-31 15:06:16.077205,2025-10-31 15:06:16.077205
47,HS762C,740739.953,2181960.648,571.361,113.0,,2014.0,,,PTP,30I,0.0,,2025-10-31 15:06:16.078727,2025-10-31 15:06:16.078728
48,HS764C,740785.668,2181870.973,570.123,148.0,,2014.0,,,AUT,30J,0.0,Edit by SWJ_15Jan2020,2025-10-31 15:06:16.080257,2025-10-31 15:06:16.080258
49,HS770C,740850.228,2181957.014,576.626,113.0,,2014.0,,,PTP,31I,0.0,,2025-10-31 15:06:16.081769,2025-10-31 15:06:16.081770
50,HS771C,740876.589,2181912.97,570.625,125.0,,2014.0,,,AUT,31I,0.0,,2025-10-31 15:06:16.083298,2025-10-31 15:06:16.083299
51,HS772C,740895.779,2181871.841,569.506,144.0,,2014.0,,,AUT,31J,0.0,Edit by SWJ_20Jan2020,2025-10-31 15:06:16.084797,2025-10-31 15:06:16.084798
52,HS777C,740913.526,2182047.397,584.409,80.0,,2014.0,,,PTP,32H,0.0,Repeat seam,2025-10-31 15:06:16.086316,2025-10-31 15:06:16.086317
53,HS778C,740940.828,2182007.279,583.208,83.0,,2014.0,,,PTP,32H,0.0,,2025-10-31 15:06:16.087866,2025-10-31 15:06:16.087868
54,HS779C,740961.867,2181956.388,575.996,106.0,,2014.0,,,AUT,32I,0.0,,2025-10-31 15:06:16.089467,2025-10-31 15:06:16.089468
55,HS780C,740984.272,2181904.864,569.06,120.0,,2014.0,,,AUT,32I,0.0,,2025-10-31 15:06:16.090971,2025-10-31 15:06:16.090972
56,HS1011C,740199.944,2181802.845,589.982,230.0,,2016.0,,,STB,24J,0.0,,2025-10-31 15:06:16.092468,2025-10-31 15:06:16.092469
57,HS1067C,740139.397,2181494.923,554.039,239.0,,2018.0,,,CYV,24N,0.0,,2025-10-31 15:06:16.093968,2025-10-31 15:06:16.093969
58,HS1255C,742214.577,2181137.176,530.835,114.15,,2016.0,,,CSC,45Q,0.0,ถ่านแตกหลาย,2025-10-31 15:06:16.095662,2025-10-31 15:06:16.095664
59,HS1259C,740484.681,2180884.702,526.526,242.0,,2018.0,,,BPL,27T,0.0,Edit by AUN_07DEC2019,2025-10-31 15:06:16.097215,2025-10-31 15:06:16.097216
60,HS1260C,740516.447,2180849.427,526.473,233.5,,2018.0,,,CSC,28T,0.0,ขอใช้lithoตามlog,2025-10-31 15:06:16.098753,2025-10-31 15:06:16.098754
61,HS1262C,740561.721,2180756.275,527.081,233.0,,2018.0,,,STB,28U,0.0,เก็บถ่านรวมกับด้านล่างไปด้วย 0.20 เมตร,2025-10-31 15:06:16.100306,2025-10-31 15:06:16.100307
62,HS1264C,740892.542,2181534.4560000002,539.251,221.0,,2016.0,,,CSC,31M,0.0,,2025-10-31 15:06:16.101802,2025-10-31 15:06:16.101803
63,HS1268C,740589.23,2180702.515,527.059,232.0,,2018.0,,,VVI,28U,0.0,,2025-10-31 15:06:16.103357,2025-10-31 15:06:16.103357
64,HS1270C,740626.458,2180614.492,527.834,198.5,,2018.0,,,AXT,29V,0.0,,2025-10-31 15:06:16.104909,2025-10-31 15:06:16.104910
65,HS1283C,740199.2339999999,2181582.775,552.739,181.4,,2018.0,,,BPL,24M,0.0,WOODING COAL,2025-10-31 15:06:16.106389,2025-10-31 15:06:16.106390
66,HS1287C,740291.658,2181404.119,562.676,255.0,,2018.0,,,STB,25N,0.0,,2025-10-31 15:06:16.107892,2025-10-31 15:06:16.107893
67,HS1291C,740521.115,2180964.216,510.345,223.0,,2018.0,,,STB,28S,0.0,CORE LOSS,2025-10-31 15:06:16.109381,2025-10-31 15:06:16.109382
68,HS1297C,740799.971,2181374.304,522.833,220.0,,2017.0,,,STB,30O,0.0,Edit by SWJ 29 JUN 2019,2025-10-31 15:06:16.110996,2025-10-31 15:06:16.110997
69,HS1343C,741865.78,2181073.16,541.9,163.0,,2017.0,,,BPL,,0.0,,2025-10-31 15:06:16.112574,2025-10-31 15:06:16.112574
70,HS1354C,740315.041,2181463.053,555.443,238.4,,2018.0,,,VVI,26N,0.0,,2025-10-31 15:06:16.114070,2025-10-31 15:06:16.114071
