log_id,hole_id,depth_from,depth_to,rock_code,description,created_at
1,BC01C,0.0,0.85,5,CL,2025-10-31 15:06:18.463867
2,BC01C,0.85,1.85,5,CL,2025-10-31 15:06:18.463889
3,BC01C,1.85,2.85,5,CL,2025-10-31 15:06:18.463909
4,BC01C,2.85,3.55,5,CL,2025-10-31 15:06:18.463929
5,BC01C,3.55,3.85,5,CL,2025-10-31 15:06:18.463948
6,BC01C,3.85,4.2,3,LICL,2025-10-31 15:06:18.463966
7,BC01C,4.2,4.45,5,CL,2025-10-31 15:06:18.463984
8,BC01C,4.45,4.7,4,CBCL,2025-10-31 15:06:18.464002
9,BC01C,4.7,4.95,4,CBCL,2025-10-31 15:06:18.464020
10,BC01C,4.95,5.1,4,CBCL,2025-10-31 15:06:18.464038
11,BC01C,5.1,5.4,3,LICL,2025-10-31 15:06:18.464056
12,BC01C,5.4,5.7,5,CL,2025-10-31 15:06:18.464074
13,BC01C,5.7,6.0,5,CL,2025-10-31 15:06:18.464092
14,BC01C,6.0,6.4,4,CBCL,2025-10-31 15:06:18.464110
15,BC01C,6.4,6.7,4,CBCL,2025-10-31 15:06:18.464127
16,BC01C,6.7,7.1,2,CLLI,2025-10-31 15:06:18.464146
17,BC01C,7.1,7.4,4,CBCL,2025-10-31 15:06:18.464165
18,BC01C,7.4,7.45,4,CBCL,2025-10-31 15:06:18.464183
19,BC01C,7.45,8.2,5,CL,2025-10-31 15:06:18.464200
20,BC01C,8.2,8.65,4,CBCL,2025-10-31 15:06:18.464218
21,BC01C,8.65,8.9,5,CL,2025-10-31 15:06:18.464235
22,BC01C,8.9,9.25,4,CBCL,2025-10-31 15:06:18.464252
23,BC01C,9.25,9.5,4,CBCL,2025-10-31 15:06:18.464270
24,BC01C,9.5,10.2,1,LI,2025-10-31 15:06:18.464288
25,BC01C,10.2,10.5,5,CL,2025-10-31 15:06:18.464306
26,BC01C,10.5,10.6,5,CL,2025-10-31 15:06:18.464323
27,BC01C,10.6,10.9,4,CBCL,2025-10-31 15:06:18.464340
28,BC01C,10.9,11.2,5,CL,2025-10-31 15:06:18.464357
29,BC01C,11.2,11.5,5,CL,2025-10-31 15:06:18.464374
30,BC01C,11.5,12.2,5,CL,2025-10-31 15:06:18.464391
31,BC01C,12.2,12.6,65,SACL,2025-10-31 15:06:18.464408
32,BC01C,12.6,13.7,5,CL,2025-10-31 15:06:18.464425
33,BC01C,13.7,14.6,65,SACL,2025-10-31 15:06:18.464443
34,BC01C,14.6,16.9,5,CL,2025-10-31 15:06:18.464460
35,BC01C,16.9,17.7,4,CBCL,2025-10-31 15:06:18.464477
36,BC01C,17.7,18.0,5,CL,2025-10-31 15:06:18.464494
37,BC01C,18.0,18.3,5,CL,2025-10-31 15:06:18.464511
38,BC01C,18.3,18.6,4,CBCL,2025-10-31 15:06:18.464529
39,BC01C,18.6,19.45,1,LI,2025-10-31 15:06:18.464546
40,BC01C,19.45,19.9,4,CBCL,2025-10-31 15:06:18.464563
41,BC01C,19.9,20.2,3,LICL,2025-10-31 15:06:18.464580
42,BC01C,20.2,20.8,4,CBCL,2025-10-31 15:06:18.464597
43,BC01C,20.8,21.5,1,LI,2025-10-31 15:06:18.464614
44,BC01C,21.5,21.7,4,CBCL,2025-10-31 15:06:18.464631
45,BC01C,21.7,22.3,3,LICL,2025-10-31 15:06:18.464648
46,BC01C,22.3,22.9,4,CBCL,2025-10-31 15:06:18.464665
47,BC01C,22.9,23.15,3,LICL,2025-10-31 15:06:18.464683
48,BC01C,23.15,23.4,3,LICL,2025-10-31 15:06:18.464700
49,BC01C,23.4,24.4,3,LICL,2025-10-31 15:06:18.464717
50,BC01C,24.4,25.1,5,CL,2025-10-31 15:06:18.464734
51,BC01C,25.1,25.8,4,CBCL,2025-10-31 15:06:18.464752
52,BC01C,25.8,26.35,4,CBCL,2025-10-31 15:06:18.464771
53,BC01C,26.35,26.6,2,CLLI,2025-10-31 15:06:18.464788
54,BC01C,26.6,27.3,4,CBCL,2025-10-31 15:06:18.464805
55,BC01C,27.3,28.0,1,LI,2025-10-31 15:06:18.464835
56,BC01C,28.0,29.0,1,LI,2025-10-31 15:06:18.464852
57,BC01C,29.0,29.6,1,LI,2025-10-31 15:06:18.464868
58,BC01C,29.6,31.0,1,LI,2025-10-31 15:06:18.464885
59,BC01C,31.0,31.3,1,LI,2025-10-31 15:06:18.464901
60,BC01C,31.3,31.7,5,CL,2025-10-31 15:06:18.464918
61,BC01C,31.7,31.9,1,LI,2025-10-31 15:06:18.464934
