hole_id,easting,northing,elevation,total_depth,inclination,year_drilled,geologist,block_no,dh_version,created_at
BC01C,740809.36,2181845.151,537.606,125.0,-90.0,2016,AUN,31J,0.0,2025-10-27 16:49:17
BC04C,740876.015,2181979.346,534.136,38.0,-90.0,2016,STB,31I,0.0,2025-10-27 16:49:17
BC05C,740879.631,2181924.277,530.534,58.35,-90.0,2016,STB,31I,0.0,2025-10-27 16:49:17
BC06C,740965.068,2181917.514,527.106,65.0,-90.0,2016,VVI,32I,0.0,2025-10-27 16:49:17
BC16C,741783.297,2181441.996,522.575,41.0,-90.0,2016,BPL,40N,0.0,2025-10-27 16:49:17
BC17C,741726.485,2181711.29,521.425,63.0,-90.0,2016,STB,40K,0.0,2025-10-27 16:49:17
BC23C,740948.872,2181892.836,525.122,74.9,-90.0,2016,CSC,32J,0.0,2025-10-27 16:49:17
BC29C,741718.059,2181772.312,500.161,36.0,-90.0,2016,STB,40K,0.0,2025-10-27 16:49:17
BC31C,741487.709,2181780.33,516.337,76.3,-90.0,2016,AXT,37K,0.0,2025-10-27 16:49:17
BC32C,741412.991,2181658.411,530.632,107.25,-90.0,2016,BPL,37L,0.0,2025-10-27 16:49:17
HPC3C,740074.946,2181623.371,581.715,297.0,-90.0,2014,CTK,BND23KL-24KL,0.0,2025-10-27 16:49:17
HPC5C,740163.003,2181455.323,576.073,329.0,-90.0,2014,VVI,24N,0.0,2025-10-27 16:49:17
HPC6C,739929.514,2181668.349,584.829,218.0,-90.0,2014,AUT,BND21KL-22KL,0.0,2025-10-27 16:49:17
HPC8C,739842.643,2181626.153,594.968,239.0,-90.0,2014,AXT,BND21KL-22KL,0.0,2025-10-27 16:49:17
HPC10C,739972.012,2181579.476,578.413,236.8,-90.0,2017,CSC,BND21MN-22MN,0.0,2025-10-27 16:49:17
HPC18C,740334.153,2181086.5810000002,556.01,293.0,-90.0,2016,WRJ,26R,0.0,2025-10-27 16:49:17
HPC27C,740244.617,2181041.876,556.344,298.3,-90.0,2016,WRJ,25R,0.0,2025-10-27 16:49:17
HPC43C,739872.402,2181542.069,590.346,304.0,-90.0,2017,AXT,BND21MN-22MN,0.0,2025-10-27 16:49:17
HS380C,740855.462,2182048.442,581.743,208.5,-90.0,2008,-,31H,0.0,2025-10-27 16:49:17
HS424C,740261.097,2181444.748,590.17,252.0,-90.0,2008,-,25N,0.0,2025-10-27 16:49:17
HS425C,740387.85,2181181.59,580.26,317.0,-90.0,"","",26Q,0.0,2025-10-27 16:49:17
HS426C,740528.7,2180919.22,566.01,227.0,-90.0,"","",28S,0.0,2025-10-27 16:49:17
HS427C,740675.527,2180630.648,555.668,268.0,-90.0,2008,-,29V,0.0,2025-10-27 16:49:17
