log_id,hole_id,depth_from,depth_to,thickness,rock_code,description,clay_color,remark
1,BC01C,0.0,0.85,0.85,CL,"","",""
2,BC01C,0.85,1.85,1.0,CL,"","",""
3,BC01C,1.85,2.85,1.0,CL,"","",""
4,BC01C,2.85,3.55,0.7,CL,"","",""
5,BC01C,5.7,6.0,0.3,CL,"","",""
6,BC01C,6.0,6.4,0.4,CBCL,"","",""
7,BC01C,7.4,7.45,0.0499999999999998,CBCL,"","",""
8,BC01C,7.45,8.2,0.749999999999999,CL,"","",""
9,BC01C,8.2,8.65,0.450000000000001,CBCL,"","",""
10,BC01C,8.65,8.9,0.25,CL,"","",""
11,BC01C,8.9,9.25,0.35,CBCL,"","",""
12,BC01C,10.5,10.6,0.0999999999999996,CL,"","",""
13,BC01C,10.6,10.9,0.300000000000001,CBCL,"","",""
14,BC01C,10.9,11.2,0.299999999999999,CL,"","",""
15,BC01C,11.2,11.5,0.300000000000001,CL,"","",""
16,BC01C,11.5,12.2,0.699999999999999,CL,"","",""
17,BC01C,12.2,12.6,0.4,SACL,"","",""
18,BC01C,12.6,13.7,1.1,CL,"","",""
19,BC01C,13.7,14.6,0.9,SACL,"","",""
20,BC01C,14.6,16.9,2.3,CL,"","",""
21,BC01C,16.9,17.7,0.800000000000001,CBCL,"","",""
22,BC01C,17.7,18.0,0.300000000000001,CL,"","",""
23,BC01C,37.2,37.3,0.0999999999999943,CL,"","",""
24,BC01C,37.3,38.0,0.700000000000003,CL,"","",""
25,BC01C,38.0,39.85,1.85,SACL,"","",""
26,BC01C,39.85,40.9,1.05,CL,"","",""
27,BC01C,40.9,44.9,4.0,SACL,"","",""
28,BC01C,44.9,47.1,2.2,SACL,"","",""
29,BC01C,47.1,48.0,0.899999999999999,CL,"","",""
30,BC01C,48.0,48.9,0.899999999999999,CBCL,"","",""
31,BC01C,48.9,49.1,0.200000000000003,CL,"","",""
32,BC01C,66.0,66.5,0.5,CL,"","",""
33,BC01C,66.5,68.1,1.59999999999999,SACL,"","",""
34,BC01C,68.1,69.0,0.900000000000006,CL,"","",""
35,BC01C,69.0,70.7,1.7,SACL,"","",""
36,BC01C,70.7,70.9,0.200000000000003,LICL,"","",""
37,BC01C,70.9,73.0,2.09999999999999,CL,"","",""
38,BC01C,79.1,79.4,0.300000000000011,HB,"","",""
39,BC01C,115.0,116.9,1.90000000000001,CL,"","",""
40,BC01C,116.9,120.5,3.59999999999999,SACL,"","",""
41,BC01C,120.5,125.0,4.5,CL,"","",""
42,BC04C,0.3,0.7,0.4,CBCL,"Medium gray (N5),H","",""
43,BC04C,1.9,2.4,0.5,CL,"Very light grey (N8),H","",""
44,BC04C,3.0,3.5,0.5,CL,"Very light grey (N8),H","",""
45,BC04C,6.7,7.0,0.3,ST,"Dark gray(N3),HB","",""
46,BC04C,37.6,38.0,0.399999999999999,CL,"Very light grey (N8),H","",""
47,BC05C,0.0,1.4,1.4,SICL,"Very light grey (N8),H","",""
48,BC05C,1.4,3.3,1.9,CL,"White (N9),H (SI:2.00-2.05.HB)","",""
49,BC05C,3.5,3.85,0.35,CL,"Yellowish gray (5YR 7/2),H(CBCL: 3.00-3.30)","",""
50,BC05C,20.3,21.8,1.5,CL,"White (N9),H (sa 27.55-27.65)","",""
51,BC05C,21.8,22.0,0.199999999999999,LICL,"Med dark gray (N4),H","",""
52,BC05C,22.0,23.2,1.2,CL,"White (N9),H (CBCL 23.45-23.70)","",""
53,BC06C,10.1,10.2,0.0999999999999996,CBCL,"","",""
54,BC06C,10.2,12.0,1.8,CLSI,"","",""
55,BC06C,12.0,13.15,1.15,CBCL,"","",""
56,BC06C,13.15,13.65,0.5,CL,"","",""
57,BC06C,33.1,33.4,0.299999999999997,HB,"","",""
58,BC06C,51.4,54.2,2.8,SICL,"","",""
59,BC06C,54.2,54.4,0.199999999999996,ST,"","",""
60,BC06C,54.4,55.2,0.800000000000004,CL,"","",""
61,BC06C,56.4,57.7,1.3,CL,"","",""
62,BC06C,60.95,61.2,0.25,CBCL,"","",""
63,BC06C,61.2,62.6,1.4,CBCL,"","",""
64,BC06C,62.6,63.0,0.399999999999999,CBCL,"","",""
65,BC06C,63.0,64.0,1.0,CL,"","",""
66,BC06C,64.0,65.0,1.0,SICL,"","",""
67,BC16C,1.0,4.1,3.1,CL,"","",""
68,BC16C,6.8,7.4,0.600000000000001,CBCL,"","",""
69,BC16C,7.4,9.0,1.6,SA,"","",""
70,BC16C,9.0,9.5,0.5,CL,"","",""
71,BC16C,15.5,17.9,2.4,CL,"","",""
72,BC16C,22.7,23.2,0.5,CL,"","",""
73,BC16C,23.2,23.8,0.600000000000001,CBCL,"","",""
74,BC16C,23.8,24.4,0.599999999999998,CL,"","",""
75,BC16C,24.4,24.8,0.400000000000002,SA,"","",""
76,BC16C,24.8,27.0,2.2,CL,"","",""
77,BC16C,27.0,27.6,0.600000000000001,SS,"","",""
78,BC16C,27.6,29.6,2.0,CL,"","",""
79,BC16C,29.6,30.0,0.399999999999999,SA,"","",""
80,BC16C,30.0,30.4,0.399999999999999,CL,"","",""
81,BC16C,30.4,31.0,0.600000000000001,CL,"","",""
82,BC16C,31.0,31.8,0.800000000000001,CL,"","",""
83,BC16C,31.8,32.2,0.400000000000002,CL,"","",""
84,BC16C,32.2,33.2,1.0,CL,"","",""
85,BC16C,34.1,34.9,0.799999999999997,CL,"","",""
86,BC16C,36.0,41.0,5.0,CL,"","",""
87,BC17C,4.9,5.0,0.0999999999999996,CBCL,"","",""
88,BC17C,5.9,9.1,3.2,CL,"","",""
89,BC17C,9.1,9.3,0.200000000000001,SI,"","",""
90,BC17C,9.3,9.7,0.399999999999999,CL,"","",""
91,BC17C,9.7,10.4,0.700000000000001,CBCL,"","",""
92,BC17C,13.5,13.8,0.300000000000001,CL,"","",""
93,BC17C,22.3,22.9,0.599999999999998,SACL,"","",""
94,BC17C,22.9,25.9,3.0,CL,"","",""
95,BC17C,32.25,35.0,2.75,CL,"","",""
96,BC17C,35.0,35.4,0.399999999999999,SI,"","",""
97,BC17C,35.4,36.8,1.4,CL,"","",""
98,BC17C,36.8,37.3,0.5,CBCL,"","",""
99,BC17C,37.3,37.7,0.400000000000006,CL,"","",""
100,BC17C,43.45,46.3,2.84999999999999,CL,"","",""
101,BC17C,46.7,53.1,6.4,CL,"","",""
102,BC17C,55.9,57.1,1.2,CL,"","",""
103,BC23C,0.0,1.1,1.1,CL,"","",""
104,BC23C,17.7,17.9,0.199999999999999,CBCL,"","",""
105,BC23C,17.9,18.2,0.300000000000001,CL,"","",""
106,BC23C,18.2,18.6,0.400000000000002,HB,"","",""
107,BC23C,18.6,20.7,2.1,CL,"","",""
108,BC23C,20.7,20.9,0.199999999999999,LICL,"","",""
109,BC23C,20.9,22.5,1.6,CL,"","",""
110,BC23C,43.3,43.6,0.300000000000004,HB,"","",""
111,BC29C,0.0,2.5,2.5,CL,"","",""
112,BC29C,5.95,6.3,0.35,CL,"","",""
113,BC29C,6.8,12.2,5.4,CL,"","",""
114,BC29C,12.2,12.5,0.300000000000001,CBCL,"","",""
115,BC29C,12.5,12.9,0.4,CL,"","",""
116,BC29C,18.25,19.0,0.75,CL,"","",""
117,BC29C,19.0,19.6,0.600000000000001,SACL,"","",""
118,BC29C,19.6,21.2,1.6,CL,"","",""
119,BC29C,21.5,27.9,6.4,CL,"","",""
120,BC29C,30.4,31.4,1.0,CL,"","",""
121,BC31C,0.0,0.8,0.8,CBCL,"","",""
122,BC31C,1.2,4.2,3.0,SICL,"","",""
123,BC31C,7.2,11.8,4.6,CL,"","",""
124,BC31C,14.7,16.4,1.7,CL,"","",""
125,BC31C,16.4,28.4,12.0,SICL,"","",""
126,BC31C,28.4,28.8,0.400000000000002,CL,"","",""
127,BC31C,35.9,37.6,1.7,CL,"","",""
128,BC31C,37.6,37.9,0.299999999999997,CBCL,"","",""
129,BC31C,43.3,50.5,7.2,CL,"","",""
130,BC31C,55.0,56.6,1.6,CL,"","",""
131,BC31C,56.9,58.0,1.1,SICL,"","",""
132,BC31C,58.0,58.4,0.399999999999999,SA,"","",""
133,BC31C,58.4,59.0,0.600000000000001,CL,"","",""
134,BC32C,0.0,4.8,4.8,CL,"","",""
135,BC32C,6.0,12.5,6.5,CL,"","",""
136,BC32C,16.9,19.2,2.3,SA,"","",""
137,BC32C,19.2,20.1,0.900000000000002,CL,"","",""
138,BC32C,26.5,27.4,0.899999999999999,CL,"","",""
139,BC32C,27.4,27.8,0.400000000000002,CBCL,"","",""
140,BC32C,27.8,31.8,4.0,CL,"","",""
141,BC32C,33.3,33.7,0.400000000000006,CL,"","",""
142,BC32C,35.0,42.1,7.1,CL,"","",""
143,BC32C,42.1,42.5,0.399999999999999,CL,"","",""
144,BC32C,42.5,44.6,2.1,CL,"","",""
145,BC32C,45.8,52.3,6.5,CL,"","",""
146,BC32C,58.1,61.9,3.8,CL,"","",""
147,BC32C,73.3,74.1,0.799999999999997,CL,"","",""
148,BC32C,80.8,82.4,1.60000000000001,CL,"","",""
149,BC32C,82.4,82.8,0.399999999999991,HB,"","",""
150,BC32C,82.8,85.6,2.8,CL,"","",""
151,BC32C,85.6,85.9,0.300000000000011,CL,"","",""
152,BC32C,90.3,94.3,4.0,CL,"","",""
153,HPC3C,0.0,7.1,7.1,SO,"","",""
154,HPC3C,7.1,8.7,1.6,SICL,"","",""
155,HPC3C,8.7,9.2,0.5,SICL,"","",""
156,HPC3C,9.2,9.6,0.4,SICL,"","",""
157,HPC3C,9.6,10.9,1.3,CL,"","",""
158,HPC3C,10.9,11.45,0.549999999999999,SICL,"","",""
159,HPC3C,11.45,16.0,4.55,CL,"","",""
160,HPC3C,16.0,18.4,2.4,SICL,"","",""
161,HPC3C,18.4,26.5,8.1,CL,"","",""
162,HPC3C,26.5,26.8,0.300000000000001,CBCL,"","",""
163,HPC3C,26.8,27.1,0.300000000000001,LI,"","",""
164,HPC3C,27.1,27.7,0.599999999999998,CBCL,"","",""
165,HPC3C,27.7,27.8,0.100000000000001,CL,"","",""
166,HPC3C,27.8,28.1,0.300000000000001,LI,"","",""
167,HPC3C,28.1,29.0,0.899999999999999,CL,"","",""
168,HPC3C,29.0,30.35,1.35,SICL,"","",""
169,HPC3C,30.35,32.6,2.25,CL,"","",""
170,HPC3C,32.6,34.1,1.5,SICL,"","",""
171,HPC3C,34.1,35.2,1.1,SICL,"","",""
172,HPC3C,35.2,36.4,1.2,SICL,"","",""
173,HPC3C,36.4,38.65,2.25,CL,"","",""
174,HPC3C,38.65,38.85,0.200000000000003,LICL,"","",""
175,HPC3C,38.85,39.4,0.549999999999997,CL,"","",""
176,HPC3C,39.4,39.65,0.25,LICL,"","",""
177,HPC3C,39.65,40.4,0.75,LI,"","",""
178,HPC3C,40.4,41.2,0.800000000000004,CL,"","",""
179,HPC3C,41.2,41.6,0.399999999999999,ST,"","",""
180,HPC3C,41.6,42.75,1.15,SICL,"","",""
181,HPC3C,42.75,43.1,0.350000000000001,ST,"","",""
182,HPC3C,43.1,43.85,0.75,CL,"","",""
183,HPC3C,46.0,46.2,0.200000000000003,CL,"","",""
184,HPC3C,46.2,46.7,0.5,CBCL,"","",""
185,HPC3C,46.7,47.0,0.299999999999997,CL,"","",""
186,HPC3C,47.0,47.5,0.5,CBCL,"","",""
187,HPC3C,47.5,47.7,0.200000000000003,CL,"","",""
188,HPC3C,47.7,47.75,0.0499999999999972,CBCL,"","",""
189,HPC3C,48.8,49.0,0.200000000000003,LICL,"","",""
190,HPC3C,49.0,49.2,0.200000000000003,CL,"","",""
191,HPC3C,49.2,49.4,0.199999999999996,LICL,"","",""
192,HPC3C,49.4,50.2,0.800000000000004,CBCL,"","",""
193,HPC3C,50.2,51.3,1.09999999999999,CL,"","",""
194,HPC3C,51.3,51.6,0.300000000000004,LICL,"","",""
195,HPC3C,51.6,52.3,0.699999999999996,CL,"","",""
196,HPC3C,52.3,53.5,1.2,SICL,"","",""
197,HPC3C,53.5,53.75,0.25,CL,"","",""
198,HPC3C,53.75,54.0,0.25,LICL,"","",""
199,HPC3C,54.0,55.4,1.4,CL,"","",""
200,HPC3C,57.3,57.6,0.300000000000004,LICL,"","",""
201,HPC3C,57.6,57.9,0.299999999999997,CL,"","",""
202,HPC3C,59.5,59.7,0.200000000000003,LI,"","",""
203,HPC3C,60.25,61.3,1.05,CL,"","",""
204,HPC3C,61.3,61.6,0.300000000000004,LI,"","",""
205,HPC3C,64.8,65.0,0.200000000000003,CL,"","",""
206,HPC3C,65.0,65.2,0.200000000000003,LI,"","",""
207,HPC3C,65.2,65.3,0.0999999999999943,CL,"","",""
208,HPC3C,65.3,65.4,0.100000000000009,LI,"","",""
209,HPC3C,65.4,65.5,0.0999999999999943,CL,"","",""
210,HPC3C,65.5,66.9,1.40000000000001,SICL,"","",""
211,HPC3C,66.9,67.2,0.299999999999997,ST,"","",""
212,HPC3C,67.2,68.1,0.899999999999991,SICL,"","",""
213,HPC3C,68.1,68.4,0.300000000000011,CL,"","",""
214,HPC3C,71.9,73.45,1.55,CL,"","",""
215,HPC3C,96.25,96.3,0.0499999999999972,LI,"","",""
216,HPC3C,99.9,102.0,2.09999999999999,CL,"","",""
217,HPC3C,102.0,102.9,0.900000000000006,SICL,"","",""
218,HPC3C,102.9,104.3,1.39999999999999,SA,"","",""
219,HPC3C,104.3,105.6,1.3,CL,"","",""
220,HPC3C,109.5,110.5,1.0,CL,"","",""
221,HPC3C,110.5,112.8,2.3,SICL,"","",""
222,HPC3C,112.8,115.0,2.2,CL,"","",""
223,HPC3C,115.0,115.3,0.299999999999997,ST,"","",""
224,HPC3C,118.6,120.4,1.80000000000001,CL,"","",""
225,HPC3C,120.4,120.75,0.349999999999994,SICL,"","",""
226,HPC3C,120.75,120.95,0.200000000000003,LI,"","",""
227,HPC3C,120.95,122.95,2.0,CL,"","",""
228,HPC3C,122.95,124.2,1.25,SICL,"","",""
229,HPC3C,124.2,124.4,0.200000000000003,CL,"","",""
230,HPC3C,124.65,124.95,0.299999999999997,CBCL,"","",""
231,HPC3C,124.95,125.35,0.399999999999991,LI,"","",""
232,HPC3C,125.35,125.5,0.150000000000006,CL,"","",""
233,HPC3C,125.5,126.3,0.799999999999997,SICL,"","",""
234,HPC3C,126.3,129.2,2.89999999999999,CL,"","",""
235,HPC3C,129.2,130.4,1.20000000000002,SICL,"","",""
236,HPC3C,130.4,134.2,3.79999999999998,CL,"","",""
237,HPC3C,134.2,135.6,1.40000000000001,SICL,"","",""
238,HPC3C,135.6,136.2,0.599999999999994,CL,"","",""
