sample_id,hole_id,depth_from,depth_to,sample_no,im,tm,ash,vm,fc,sulphur,gross_cv,net_cv,sg,rd,hgi,seam_code_quality,seam_code_73,quality_seam_label,seam_label_73
1,BC01C,3.55,3.85,1,4.85,28.6164111367074,54.786904452577,14.6907425880656,1.90594182264991,0.312092201441195,666.025013859738,0.0,1.67469209666899,0.0,0.0,0.0,0.0,"",""
2,BC01C,3.85,4.2,2,6.65,34.0221445222651,37.5809864801178,20.1100503496136,8.28681864800351,0.575177062536483,1622.34846536848,0.0,1.43790263839032,0.0,0.0,17,12,H3c,H3c
3,BC01C,4.2,4.45,3,4.24,27.5367065185747,55.7822433220012,13.4854189168932,3.19563124253086,0.2029517054273,660.800007478981,0.0,1.69674772285757,0.0,0.0,17,12,H3c,H3c
4,BC01C,4.45,4.7,4,4.89,31.5488080048785,49.9009189644435,15.4220535565009,3.12821947417705,0.206843366411502,804.040612691723,0.0,1.6438075723824,0.0,0.0,17,12,H3c,H3c
5,BC01C,4.7,4.95,5,7.89,36.3151338510687,36.0010548339909,19.188250170673,8.49556114426744,0.395204315391696,1594.58995219415,0.0,1.43582059061722,0.0,0.0,17,12,H3c,H3c
6,BC01C,4.95,5.1,6,5.68,32.3780875082486,44.5966512883101,17.5005509528653,5.51794805932692,0.296240184919335,1247.26294700912,0.0,1.54544944295588,0.0,0.0,17,12,H3c,H3c
7,BC01C,5.1,5.4,7,5.87,32.6157741661135,38.8739598835692,20.2826519759999,8.22761397431755,0.390288748800966,1648.28273477937,0.0,1.4459568967165,0.0,0.0,17,12,H3c,H3c
8,BC01C,5.4,5.7,8,4.22,23.3234507059163,60.2064265057145,13.4950726757587,2.97505011261045,0.235841631050711,625.30454448593,0.0,1.75602098792288,0.0,0.0,0.0,0.0,"",""
9,BC01C,6.4,6.7,9,5.42,23.856794336911,52.0514953912876,18.3809698470697,5.71835474529798,0.405270561755117,1200.13703719747,0.0,1.70796288466329,0.0,0.0,0.0,0.0,"",""
10,BC01C,6.7,7.1,10,9.36,35.644724405961,31.8944745844057,21.6233725995971,10.8374284100362,0.482948570819344,1916.33027287978,0.0,1.42685037950822,0.0,0.0,18,13,H3b,H3b
11,BC01C,7.1,7.4,11,5.65,24.1113007739469,51.5056601647222,18.2891765134788,6.10145141777467,0.373853390569894,1161.84914833112,0.0,1.66400772689721,0.0,0.0,18,13,H3b,H3b
12,BC01C,9.25,9.5,12,4.15,19.5748059372545,58.8712420539297,18.5380072314628,3.01594477735296,0.360801600907465,1017.25913692134,0.0,1.83819889008838,0.0,0.0,0.0,14,"",H3a
13,BC01C,9.5,10.2,13,13.1,44.3715963213601,15.4925104245012,25.3554263967241,14.7804668574146,0.641423020552326,2520.62603365952,0.0,1.27153934646228,0.0,0.0,21,14,H3a1,H3a
14,BC01C,10.2,10.5,14,4.33,29.1032577944656,54.05876593172,13.1655250275677,3.67245124624668,0.300275529859753,713.50564353822,0.0,1.67536212689664,0.0,0.0,0.0,0.0,"",""
15,BC01C,18.0,18.3,15,3.83,24.6628793960366,63.5167263812016,10.396522643347,1.42387157941491,0.293060380762636,412.520283740496,0.0,1.81931990433349,0.0,0.0,0.0,0.0,"",""
16,BC01C,18.3,18.6,16,7.31,34.3924385572952,38.7478257880614,18.7440803041808,8.11565535046258,1.01359400135887,1505.52684419714,0.0,1.48488279473399,0.0,0.0,23,15,H2b,H2b
